,DepCode,DepLib,ComInsee,ComLib,EquipementTypeLib,EquGpsX,EquGpsY
0,1,Ain,1001,Abergement-Clémenciat,Salles polyvalentes / des fêtes / non spécialisées,4.9206,46.1531
1,1,Ain,1001,Abergement-Clémenciat,Terrain de boules,4.9206,46.1531
2,1,Ain,1001,Abergement-Clémenciat,Terrain de boules,4.9206,46.1531
3,1,Ain,1001,Abergement-Clémenciat,Terrain de football,4.9247,46.1511
4,1,Ain,1001,Abergement-Clémenciat,Plateau EPS/Multisports/city-stades,4.9242,46.1508
5,1,Ain,1004,Ambérieu-en-Bugey,Parcours sportif/santé,5.38,45.9625
6,1,Ain,1004,Ambérieu-en-Bugey,Salle de gymnastique sportive,5.34833,45.97527
7,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.34833,45.97527
8,1,Ain,1004,Ambérieu-en-Bugey,Plateau EPS/Multisports/city-stades,5.35638,45.96055
9,1,Ain,1004,Ambérieu-en-Bugey,Piste d'athlétisme isolée,5.35611,45.96
10,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.35611,45.96055
11,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.34916,45.96166
12,1,Ain,1004,Ambérieu-en-Bugey,Salles polyvalentes / des fêtes / non spécialisées,5.35654,45.95955
13,1,Ain,1004,Ambérieu-en-Bugey,Salle de danse,5.35681,45.95975
14,1,Ain,1004,Ambérieu-en-Bugey,Salle d'escrime,5.33722,45.95527
15,1,Ain,1004,Ambérieu-en-Bugey,Anneau / piste de cyclisme,5.33722,45.95527
16,1,Ain,1004,Ambérieu-en-Bugey,Salle de tennis de table,5.33722,45.95527
17,1,Ain,1004,Ambérieu-en-Bugey,Court de tennis,5.34333,45.95861
18,1,Ain,1004,Ambérieu-en-Bugey,Court de tennis,5.34305,45.95888
19,1,Ain,1004,Ambérieu-en-Bugey,Terrain de football,5.34027,45.95916
20,1,Ain,1004,Ambérieu-en-Bugey,Terrain de football,5.34111,45.95833
21,1,Ain,1004,Ambérieu-en-Bugey,Terrain de football,5.3425,46.25916
22,1,Ain,1004,Ambérieu-en-Bugey,Terrain de football,5.34277,46.25833
23,1,Ain,1004,Ambérieu-en-Bugey,Terrain de rugby,5.34027,45.96138
24,1,Ain,1004,Ambérieu-en-Bugey,Terrain de rugby,5.34194,45.95888
25,1,Ain,1004,Ambérieu-en-Bugey,Stade d’athlétisme,5.3425,45.96027
26,1,Ain,1004,Ambérieu-en-Bugey,Dojo / Salle d'arts martiaux,5.34111,45.96
27,1,Ain,1004,Ambérieu-en-Bugey,Dojo / Salle d'arts martiaux,5.34111,45.96
28,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.34111,45.96
29,1,Ain,1004,Ambérieu-en-Bugey,Skate park,5.34305,45.96138
30,1,Ain,1004,Ambérieu-en-Bugey,Court de tennis,5.34333,45.95916
31,1,Ain,1004,Ambérieu-en-Bugey,Salle de danse,5.35777,45.95916
32,1,Ain,1004,Ambérieu-en-Bugey,Circuit de motocross,5.37888,45.965
33,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.36083,45.95805
34,1,Ain,1004,Ambérieu-en-Bugey,Plateau EPS/Multisports/city-stades,5.36111,45.95888
35,1,Ain,1004,Ambérieu-en-Bugey,Manège,5.38,45.9375
36,1,Ain,1004,Ambérieu-en-Bugey,Carrière,5.37972,45.93805
37,1,Ain,1004,Ambérieu-en-Bugey,Court de tennis,5.34583,45.96277
38,1,Ain,1004,Ambérieu-en-Bugey,Terrain de boules,5.34583,45.96277
39,1,Ain,1004,Ambérieu-en-Bugey,Salles polyvalentes / des fêtes / non spécialisées,5.34555,45.96305
40,1,Ain,1004,Ambérieu-en-Bugey,Terrain de handball,5.35111,45.97333
41,1,Ain,1004,Ambérieu-en-Bugey,Anneau de Roller,5.35055,45.97333
42,1,Ain,1004,Ambérieu-en-Bugey,Aire de saut,5.35027,45.97333
43,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.35083,45.97361
44,1,Ain,1004,Ambérieu-en-Bugey,Piste d'athlétisme isolée,5.35027,45.97333
45,1,Ain,1004,Ambérieu-en-Bugey,Salle multisports,5.35666,45.96194
46,1,Ain,1004,Ambérieu-en-Bugey,Terrain de boules,5.35472,45.96722
47,1,Ain,1004,Ambérieu-en-Bugey,Terrain de boules,5.34011,45.9607
48,1,Ain,1004,Ambérieu-en-Bugey,Salle de danse,5.347832,45.977377
49,1,Ain,1004,Ambérieu-en-Bugey,Terrain de boules,5.36739,45.95668
50,1,Ain,1004,Ambérieu-en-Bugey,Bassin sportif de natation,5.344532,45.9615
51,1,Ain,1004,Ambérieu-en-Bugey,Bassin ludique de natation,5.343441,45.96176
52,1,Ain,1005,Ambérieux-en-Dombes,Salles polyvalentes / des fêtes / non spécialisées,4.9014,45.9986
53,1,Ain,1005,Ambérieux-en-Dombes,Terrain de boules,4.9036,45.9906
54,1,Ain,1005,Ambérieux-en-Dombes,Plateau EPS/Multisports/city-stades,4.8933,45.9964
55,1,Ain,1005,Ambérieux-en-Dombes,Parcours d'obstacle,4.8981,45.9995
56,1,Ain,1005,Ambérieux-en-Dombes,Terrain de pétanque,4.9044,45.9989
57,1,Ain,1005,Ambérieux-en-Dombes,Terrain de boules,4.9044,45.9992
58,1,Ain,1005,Ambérieux-en-Dombes,Terrain de boules,4.9006,45.9986
59,1,Ain,1005,Ambérieux-en-Dombes,Terrain de football,4.9019,45.9917
60,1,Ain,1005,Ambérieux-en-Dombes,Anneau de Roller,4.9006,45.9911
61,1,Ain,1005,Ambérieux-en-Dombes,Manège,4.9248,45.981328
62,1,Ain,1005,Ambérieux-en-Dombes,Carrière,4.9248,45.981328
63,1,Ain,1005,Ambérieux-en-Dombes,Plateau EPS/Multisports/city-stades,4.9013,45.992
64,1,Ain,1005,Ambérieux-en-Dombes,Carrière,4.8972,45.9999
65,1,Ain,1007,Ambronay,Terrain de basket-ball,5.3625,46.0075
66,1,Ain,1007,Ambronay,Terrain de football,5.34821,46.00574
67,1,Ain,1007,Ambronay,Court de tennis,5.34743,46.0054
68,1,Ain,1007,Ambronay,Terrain de pétanque,5.36134,46.0056
69,1,Ain,1007,Ambronay,Salle d'échecs,5.36056,46.00667
70,1,Ain,1007,Ambronay,Terrain de boules,5.36166,46.005
71,1,Ain,1007,Ambronay,Salles polyvalentes / des fêtes / non spécialisées,5.35916,46.0075
72,1,Ain,1007,Ambronay,Point d'embarquement et de débarquement isolé,5.32731,46.03395
73,1,Ain,1007,Ambronay,Stade de canoë-kayak de vitesse,5.32705,46.03464
74,1,Ain,1007,Ambronay,Terrain de beach-volley,5.32754,46.03418
75,1,Ain,1007,Ambronay,Terrain de football,5.3479,46.00606
76,1,Ain,1007,Ambronay,Terrain de boules,5.36203,46.00521
77,1,Ain,1007,Ambronay,Pas de tir à l'arc,5.32754,46.03418
78,1,Ain,1007,Ambronay,Parcours fixe de course d’orientation,5.32693,46.03472
79,1,Ain,1008,Ambutrix,Terrain de basket-ball,5.34,45.93889
80,1,Ain,1008,Ambutrix,Salles polyvalentes / des fêtes / non spécialisées,5.33917,45.93889
81,1,Ain,1008,Ambutrix,Terrain de pétanque,5.33556,45.93917
82,1,Ain,1008,Ambutrix,Terrain de football,5.3275,45.93889
83,1,Ain,1008,Ambutrix,Salle de musculation/cardiotraining,5.33083,45.94306
