id,code_fede,libelle_fede
0,101,Fédération Française d'athlétisme
1,102,Fédération Française des sociétés d'aviron   
2,103,Fédération Française de badminton
3,105,Fédération Française de basketball
4,106,Fédération Française de boxe
5,107,Fédération Française de canoë-kayak
6,108,Fédération Française de cyclisme
7,109,Fédération Française d'équitation
8,110,Fédération Française d'escrime
9,111,Fédération Française de football
10,112,Fédération Française des sports de glace
11,113,Fédération Française de gymnastique
12,114,"Fédération Française d’haltérophilie, de musculation, force athlétique et culturisme"
13,115,Fédération Française de handball
14,116,Fédération Française de hockey
15,117,"Fédération Française de judo-jujitsu, kendo et disciplines associées"
16,118,Fédération Française de lutte
17,119,Fédération Française de natation
18,120,Fédération française de pentathlon moderne
19,121,Fédération Française de ski
20,122,Fédération Française de taekwondo et disciplines associées
21,123,Fédération Française de tennis
22,124,Fédération Française de tennis de Table
23,125,Fédération Française de tir
24,126,Fédération Française de tir à l'arc
25,127,Fédération Française de triathlon
26,128,Fédération Française de voile
27,129,Fédération Française de volleyball
28,131,Fédération Française de hockey sur glace
29,132,Fédération Française de golf
30,133,Fédération française de rugby
31,201,Fédération Française d'aéromodélisme
32,202,Fédération Nationale aéronautique
33,203,Fédération Française d'aérostation
34,204,"Fédération Française d'aïkido, aïkibudo et affinitaires"
35,205,Fédération Française d'aïkido et de budo
36,206,Fédération Française du sport automobile 
37,208,Fédération Française de ballon au poing
38,209,Fédération Française de ball-trap
39,210,Fédération Française des sports de billard
40,211,FF du sport boules
41,212,"Fédération Française de savate, boxe française et disciplines associées"
42,213,Fédération Française de bowling et de sports de quilles
43,214,FF du char à voile
44,215,Fédération Française de la course camarguaise
45,216,Fédération Française de la course landaise
46,217,FF de la course d'orientation
47,218,Fédération Française de cyclotourisme
48,219,Fédération Française de danse 
49,220,FF des échecs
50,221,Fédération Française d'études et sports sous-marins
51,222,Fédération Française de football américain
52,224,Fédération Française de giraviation
53,226,Fédération Française de javelot tir sur cible
54,228,Fédération Française de joutes et sauvetage nautique
55,229,Fédération Française de karaté et disciplines associées
56,231,FF de longue paume
57,232,Fédération Française de la montagne et de l'escalade
58,233,Fédération Française de motocyclisme
59,234,Fédération Française motonautique 
60,237,Fédération Française de parachutisme
61,238,Fédération Française de pêche sportive au coup
62,239,Fédération Française des pêcheurs en Mer
63,240,Fédération Française de pêche à la mouche et au lancer
64,241,Fédération Française de pelote basque 
65,242,Fédération Française de pétanque et jeu provençal
66,243,Fédération Française de planeur ultra-léger motorisé
67,244,Fédération Française de Pulka et Traîneau à Chiens
68,245,Fédération Française de la randonnée pédestre
69,246,Fédération Française de roller skating
70,248,Fédération Française de rugby à XIII
71,249,Fédération Française de sauvetage et secourisme
72,251,FF de spéléologie
73,252,FF de squash
74,254,FF de wushu Arts énergétiques et martiaux chinois
75,255,"FF des sports de traîneau, de ski pulka et cross canins"
76,256,FF de twirling bâton
77,257,FF de vol à voile
78,258,Fédération Française de vol libre
79,261,FF de sports de contact et disciplines associées
80,262,Fédération Française de baseball et softball
81,264,Fédération Flying Disc France
82,401,Fédération Française des clubs alpins et de montagne
83,402,Fédération Française d'éducation physique et de gymnastique volontaire
84,403,Fédération Française pour l'entraînement physique dans le monde moderne
85,404,Fédération Française de la retraite sportive
86,405,Fédération Française du sport travailliste
87,406,F des clubs de la défense
88,407,Fédération nationale du sport en milieu rural
89,408,Fédération sportive et culturelle de France 
90,409,Fédération Française Maccabi
91,410,F sportive et gymnique du travail (FSGT)
92,411,Fédération sportive de la Police Nationale
93,413,Union Française des oeuvres laïques d'éducation physique (UFOLEP)
94,415,Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports
95,417,Union Nationale Sportive Léo Lagrange 
96,418,Fédération Française du sport d'entreprise
97,420,Fédération sportive des ASPTT
98,501,Fédération Française handisport
99,503,Fédération Française du sport adapté
100,601,Fédération française du sport universitaire
101,603,Union nationale des clubs universitaires
102,604,Union nationale du sport scolaire (UNSS)
