id,ID,Commanditaire_Collectivite_locale,nbre_marches_CT,type_marche,Commanditaire_adresse,Commanditaire_CP,montant_ou_moyenne,nom_frn,type_frn,lib93_independant,cp_frn,adresse_frn,ville_frn,adresse_cp_command,adresse_cp_frn,lat_long_frn,lat_long_comm,command_variant_address
0,1,AUBERVILLIERS,marché 1,livres scolaires,2 rue de la Commune de Paris,93300,87500,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"2 rue de la Commune de Paris, AUBERVILLIERS, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.91461,2.3817895","2 rue de la Commune de Paris, 93300, France"
1,2,AUBERVILLIERS,marché 1,"non scolaires ""livres de récompense""",2 rue de la Commune de Paris,93300,95000,bibliotheque pour l'école,GFS,non,87890,Bernardan Cherbois RD912,JOUAC,"2 rue de la Commune de Paris, AUBERVILLIERS, France","Bernardan Cherbois RD912, JOUAC, France","46.355508,1.2629999","48.91461,2.3817895","2 rue de la Commune de Paris, 93300, France"
2,3,AUBERVILLIERS,marché 2,services de la collectivité locale sans livres scolaires,2 rue de la Commune de Paris,93300,14950,les mots passants,LGE,oui,93300,2 rue du Moutier,AUBERVILLIERS,"2 rue de la Commune de Paris, AUBERVILLIERS, France","2 rue du Moutier, AUBERVILLIERS, France","48.91479220000001,2.3834375","48.91461,2.3817895","2 rue de la Commune de Paris, 93300, France"
3,4,AULNAY-SOUS-BOIS,marché 1,services de la collectivité locale dont livres scolaires,16 boulevard Félix Faure,93600,150000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"16 boulevard Félix Faure, AULNAY-SOUS-BOIS, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.93337880000001,2.4991191","16 boulevard Félix Faure, 93600, France"
4,5,AULNAY-SOUS-BOIS,marché 2,médiathèque,12 boulevard Galliéni,93600,24000,album,LS,non,93600,Centre commercial Parinor - Le Haut de Galy,AULNAY-SOUS-BOIS,"12 boulevard Galliéni, AULNAY-SOUS-BOIS, France","Centre commercial Parinor - Le Haut de Galy, AULNAY-SOUS-BOIS, France","48.95833620000001,2.4754686","48.9303436,2.495746","12 boulevard Galliéni, 93600, France"
5,6,AULNAY-SOUS-BOIS,marché 2,médiathèque,12 boulevard Galliéni,93600,25000,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"12 boulevard Galliéni, AULNAY-SOUS-BOIS, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.9303436,2.495746","12 boulevard Galliéni, 93600, France"
6,7,AULNAY-SOUS-BOIS,marché 2,médiathèque,12 boulevard Galliéni,93600,70000,folie aulnay,LGE,oui,93600,41 boulevard de Strasbourg,AULNAY-SOUS-BOIS,"12 boulevard Galliéni, AULNAY-SOUS-BOIS, France","41 boulevard de Strasbourg, AULNAY-SOUS-BOIS, France","48.9280053,2.4910526","48.9303436,2.495746","12 boulevard Galliéni, 93600, France"
7,8,AULNAY-SOUS-BOIS,marché 2,médiathèque,12 boulevard Galliéni,93600,35000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"12 boulevard Galliéni, AULNAY-SOUS-BOIS, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.9303436,2.495746","12 boulevard Galliéni, 93600, France"
8,9,BAGNOLET,marché 1,"non scolaires ""livres de récompense""",Place Salvador Allende,93170,50000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"Place Salvador Allende, BAGNOLET, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.86883719999999,2.4170851","Place Salvador Allende, 93170, France"
9,10,BAGNOLET,marché 2 total pour les 3 atrributaire 23250,médiathèque,1 rue Marceau,93170,19000,folie d'encre montreuil,LGE,oui,93100,9 avenue de la Résistance,MONTREUIL,"1 rue Marceau, BAGNOLET, France","9 avenue de la Résistance, MONTREUIL, France","48.8590063,2.4364888","48.8680853,2.4169459","1 rue Marceau, 93170, France"
10,11,BOBIGNY,marché 1,médiathèque,4 rue de l'Union - Square Dashiell Hamett,93000,22500,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"4 rue de l'Union - Square Dashiell Hamett, BOBIGNY, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.908612,2.439712","4 rue de l'Union - Square Dashiell Hamett, 93000, France"
11,12,BOBIGNY,marché 1,médiathèque,4 rue de l'Union - Square Dashiell Hamett,93000,42500,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"4 rue de l'Union - Square Dashiell Hamett, BOBIGNY, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.908612,2.439712","4 rue de l'Union - Square Dashiell Hamett, 93000, France"
12,13,BOBIGNY,marché 1,médiathèque,4 rue de l'Union - Square Dashiell Hamett,93000,10000,pipelettes,LGE,oui,93230,72 rue Carnot,ROMAINVILLE,"4 rue de l'Union - Square Dashiell Hamett, BOBIGNY, France","72 rue Carnot, ROMAINVILLE, France","48.8839337,2.4402351","48.908612,2.439712","4 rue de l'Union - Square Dashiell Hamett, 93000, France"
