region,department,fedecode,l_2013,pop_2011,nshn,age_shn,_m_lic_shn,sub_ter,_m_mho_sub,ndip,age_dip,_m_mho_dip,nent,_m_mho_ent,nequ,_m_mho_equ,l_2013_n,nshn_n,sub_ter_n,ndip_n,nent_n,nequ_n,fedenom,_m_mho_fed,depnom,regnom
11,75,101,3346,2249975,22,22.95455,"matched (3)",159718,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",1487.128,9.777886,70986.57,427.1158,353.7817,1056.012,"ATHLETISME","matched (3)","Paris","Ile-de-France"
11,75,102,1157,2249975,0,,"master only (1)",1200,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",514.228,0,533.3392,427.1158,353.7817,1056.012,"AVIRON","matched (3)","Paris","Ile-de-France"
11,75,103,3513,2249975,8,17.25,"matched (3)",80585,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",1561.351,3.555595,35815.95,427.1158,353.7817,1056.012,"BADMINTON","matched (3)","Paris","Ile-de-France"
11,75,105,4891,2249975,19,28.10526,"matched (3)",262160,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",2173.802,8.444538,116516.9,427.1158,353.7817,1056.012,"BASKET","matched (3)","Paris","Ile-de-France"
11,75,106,984,2249975,1,23,"matched (3)",1500,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",437.3382,.4444494,666.6741,427.1158,353.7817,1056.012,"BOXE","matched (3)","Paris","Ile-de-France"
11,75,107,289,2249975,0,,"master only (1)",1500,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",128.4459,0,666.6741,427.1158,353.7817,1056.012,"CANOË","matched (3)","Paris","Ile-de-France"
11,75,108,352,2249975,3,19,"matched (3)",8550,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",156.4462,1.333348,3800.042,427.1158,353.7817,1056.012,"CYCLISME","matched (3)","Paris","Ile-de-France"
11,75,109,14510,2249975,5,30.4,"matched (3)",54210,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",6448.96,2.222247,24093.6,427.1158,353.7817,1056.012,"EQUITATION","matched (3)","Paris","Ile-de-France"
11,75,110,4592,2249975,19,24.94737,"matched (3)",82150,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",2040.912,8.444538,36511.52,427.1158,353.7817,1056.012,"ESCRIME","matched (3)","Paris","Ile-de-France"
11,75,111,18187,2249975,33,24.93939,"matched (3)",469450,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",8083.201,14.66683,208646.8,427.1158,353.7817,1056.012,"FOOTBALL","matched (3)","Paris","Ile-de-France"
11,75,112,527,2249975,4,31.25,"matched (3)",0,"master only (1)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",234.2248,1.777798,0,427.1158,353.7817,1056.012,"SPORTS DE GLACE","matched (3)","Paris","Ile-de-France"
11,75,113,3521,2249975,8,19.5,"matched (3)",77450,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",1564.906,3.555595,34422.61,427.1158,353.7817,1056.012,"GYMNASTIQUE","matched (3)","Paris","Ile-de-France"
11,75,114,259,2249975,0,,"master only (1)",8429,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",115.1124,0,3746.264,427.1158,353.7817,1056.012,"HALTEROPHILIE","matched (3)","Paris","Ile-de-France"
11,75,115,2909,2249975,10,28.8,"matched (3)",23350,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",1292.903,4.444494,10377.89,427.1158,353.7817,1056.012,"HANDBALL","matched (3)","Paris","Ile-de-France"
11,75,116,534,2249975,0,,"master only (1)",23450,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",237.336,0,10422.34,427.1158,353.7817,1056.012,"HOCKEY/GAZON","matched (3)","Paris","Ile-de-France"
11,75,117,9782,2249975,2,23,"matched (3)",298640,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",4347.604,.8888988,132730.4,427.1158,353.7817,1056.012,"JUDO","matched (3)","Paris","Ile-de-France"
11,75,118,321,2249975,1,20,"matched (3)",26300,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",142.6683,.4444494,11689.02,427.1158,353.7817,1056.012,"LUTTE","matched (3)","Paris","Ile-de-France"
11,75,119,5338,2249975,10,18.3,"matched (3)",185490,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",2372.471,4.444494,82440.91,427.1158,353.7817,1056.012,"NATATION","matched (3)","Paris","Ile-de-France"
11,75,121,1017,2249975,0,,"master only (1)",23770,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",452.005,0,10564.56,427.1158,353.7817,1056.012,"SKI","matched (3)","Paris","Ile-de-France"
11,75,122,1928,2249975,4,26,"matched (3)",0,"master only (1)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",856.8984,1.777798,0,427.1158,353.7817,1056.012,"TAEKWONDO","matched (3)","Paris","Ile-de-France"
11,75,123,40317,2249975,44,25.29545,"matched (3)",252960,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",17918.87,19.55577,112427.9,427.1158,353.7817,1056.012,"TENNIS","matched (3)","Paris","Ile-de-France"
11,75,124,2494,2249975,0,,"master only (1)",92900,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",1108.457,0,41289.35,427.1158,353.7817,1056.012,"TENNIS DE TABLE","matched (3)","Paris","Ile-de-France"
11,75,125,3743,2249975,0,,"master only (1)",37445,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",1663.574,0,16642.41,427.1158,353.7817,1056.012,"TIR","matched (3)","Paris","Ile-de-France"
11,75,126,723,2249975,0,,"master only (1)",16550,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",321.3369,0,7355.637,427.1158,353.7817,1056.012,"TIR A L'ARC","matched (3)","Paris","Ile-de-France"
11,75,127,1035,2249975,0,,"master only (1)",40910,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",460.0051,0,18182.42,427.1158,353.7817,1056.012,"TRIATHLON","matched (3)","Paris","Ile-de-France"
11,75,128,15739,2249975,2,43.5,"matched (3)",65750,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",6995.189,.8888988,29222.55,427.1158,353.7817,1056.012,"VOILE","matched (3)","Paris","Ile-de-France"
11,75,129,1924,2249975,5,20.4,"matched (3)",62450,"matched (3)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",855.1206,2.222247,27755.86,427.1158,353.7817,1056.012,"VOLLEY","matched (3)","Paris","Ile-de-France"
11,75,131,448,2249975,8,24.25,"matched (3)",0,"master only (1)",961,29.4037,"matched (3)",796,"matched (3)",2376,"matched (3)",199.1133,3.555595,0,427.1158,353.7817,1056.012,"HOCKEY SUR GLACE","matched (3)","Paris","Ile-de-France"
